name,role,component,layer,dtype,shape,params
model.audio_tower.layers.0.feed_forward1.ffw_layer_1.input_max,model.audio_tower.layers.N.feed_forward1.ffw_layer_1.input_max,audio,0.0,BF16,(),1
model.audio_tower.layers.0.feed_forward1.ffw_layer_1.input_min,model.audio_tower.layers.N.feed_forward1.ffw_layer_1.input_min,audio,0.0,BF16,(),1
model.audio_tower.layers.0.feed_forward1.ffw_layer_1.linear.weight,model.audio_tower.layers.N.feed_forward1.ffw_layer_1.linear.weight,audio,0.0,BF16,"(4096, 1024)",4194304
model.audio_tower.layers.0.feed_forward1.ffw_layer_1.output_max,model.audio_tower.layers.N.feed_forward1.ffw_layer_1.output_max,audio,0.0,BF16,(),1
model.audio_tower.layers.0.feed_forward1.ffw_layer_1.output_min,model.audio_tower.layers.N.feed_forward1.ffw_layer_1.output_min,audio,0.0,BF16,(),1
model.audio_tower.layers.0.feed_forward1.ffw_layer_2.input_max,model.audio_tower.layers.N.feed_forward1.ffw_layer_2.input_max,audio,0.0,BF16,(),1
model.audio_tower.layers.0.feed_forward1.ffw_layer_2.input_min,model.audio_tower.layers.N.feed_forward1.ffw_layer_2.input_min,audio,0.0,BF16,(),1
model.audio_tower.layers.0.feed_forward1.ffw_layer_2.linear.weight,model.audio_tower.layers.N.feed_forward1.ffw_layer_2.linear.weight,audio,0.0,BF16,"(1024, 4096)",4194304
model.audio_tower.layers.0.feed_forward1.ffw_layer_2.output_max,model.audio_tower.layers.N.feed_forward1.ffw_layer_2.output_max,audio,0.0,BF16,(),1
model.audio_tower.layers.0.feed_forward1.ffw_layer_2.output_min,model.audio_tower.layers.N.feed_forward1.ffw_layer_2.output_min,audio,0.0,BF16,(),1
model.audio_tower.layers.0.feed_forward1.post_layer_norm.weight,model.audio_tower.layers.N.feed_forward1.post_layer_norm.weight,audio,0.0,BF16,"(1024,)",1024
model.audio_tower.layers.0.feed_forward1.pre_layer_norm.weight,model.audio_tower.layers.N.feed_forward1.pre_layer_norm.weight,audio,0.0,BF16,"(1024,)",1024
