name,role,component,layer,dtype,shape,params
lm_head.weight,lm_head.weight,language model,,BF16,"(248320, 4096)",1017118720
model.language_model.embed_tokens.weight,model.language_model.embed_tokens.weight,language model,,BF16,"(248320, 4096)",1017118720
model.language_model.layers.0.input_layernorm.weight,model.language_model.layers.N.input_layernorm.weight,language model,0.0,BF16,"(4096,)",4096
model.language_model.layers.0.linear_attn.A_log,model.language_model.layers.N.linear_attn.A_log,language model,0.0,F32,"(32,)",32
model.language_model.layers.0.linear_attn.conv1d.weight,model.language_model.layers.N.linear_attn.conv1d.weight,language model,0.0,BF16,"(8192, 1, 4)",32768
model.language_model.layers.0.linear_attn.dt_bias,model.language_model.layers.N.linear_attn.dt_bias,language model,0.0,BF16,"(32,)",32
model.language_model.layers.0.linear_attn.in_proj_a.weight,model.language_model.layers.N.linear_attn.in_proj_a.weight,language model,0.0,BF16,"(32, 4096)",131072
model.language_model.layers.0.linear_attn.in_proj_b.weight,model.language_model.layers.N.linear_attn.in_proj_b.weight,language model,0.0,BF16,"(32, 4096)",131072
model.language_model.layers.0.linear_attn.in_proj_qkv.weight,model.language_model.layers.N.linear_attn.in_proj_qkv.weight,language model,0.0,BF16,"(8192, 4096)",33554432
model.language_model.layers.0.linear_attn.in_proj_z.weight,model.language_model.layers.N.linear_attn.in_proj_z.weight,language model,0.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.0.linear_attn.norm.weight,model.language_model.layers.N.linear_attn.norm.weight,language model,0.0,F32,"(128,)",128
model.language_model.layers.0.linear_attn.out_proj.weight,model.language_model.layers.N.linear_attn.out_proj.weight,language model,0.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.0.mlp.down_proj.weight,model.language_model.layers.N.mlp.down_proj.weight,language model,0.0,BF16,"(4096, 12288)",50331648
model.language_model.layers.0.mlp.gate_proj.weight,model.language_model.layers.N.mlp.gate_proj.weight,language model,0.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.0.mlp.up_proj.weight,model.language_model.layers.N.mlp.up_proj.weight,language model,0.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.0.post_attention_layernorm.weight,model.language_model.layers.N.post_attention_layernorm.weight,language model,0.0,BF16,"(4096,)",4096
model.language_model.layers.1.input_layernorm.weight,model.language_model.layers.N.input_layernorm.weight,language model,1.0,BF16,"(4096,)",4096
model.language_model.layers.1.linear_attn.A_log,model.language_model.layers.N.linear_attn.A_log,language model,1.0,F32,"(32,)",32
model.language_model.layers.1.linear_attn.conv1d.weight,model.language_model.layers.N.linear_attn.conv1d.weight,language model,1.0,BF16,"(8192, 1, 4)",32768
model.language_model.layers.1.linear_attn.dt_bias,model.language_model.layers.N.linear_attn.dt_bias,language model,1.0,BF16,"(32,)",32
model.language_model.layers.1.linear_attn.in_proj_a.weight,model.language_model.layers.N.linear_attn.in_proj_a.weight,language model,1.0,BF16,"(32, 4096)",131072
model.language_model.layers.1.linear_attn.in_proj_b.weight,model.language_model.layers.N.linear_attn.in_proj_b.weight,language model,1.0,BF16,"(32, 4096)",131072
model.language_model.layers.1.linear_attn.in_proj_qkv.weight,model.language_model.layers.N.linear_attn.in_proj_qkv.weight,language model,1.0,BF16,"(8192, 4096)",33554432
model.language_model.layers.1.linear_attn.in_proj_z.weight,model.language_model.layers.N.linear_attn.in_proj_z.weight,language model,1.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.1.linear_attn.norm.weight,model.language_model.layers.N.linear_attn.norm.weight,language model,1.0,F32,"(128,)",128
model.language_model.layers.1.linear_attn.out_proj.weight,model.language_model.layers.N.linear_attn.out_proj.weight,language model,1.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.1.mlp.down_proj.weight,model.language_model.layers.N.mlp.down_proj.weight,language model,1.0,BF16,"(4096, 12288)",50331648
model.language_model.layers.1.mlp.gate_proj.weight,model.language_model.layers.N.mlp.gate_proj.weight,language model,1.0,BF16,"(12288, 4096)",50331648
